ts_utc,spot,strike,call_oi,call_vol,call_last,call_iv,put_oi,put_vol,put_last,put_iv
2026-09-18 19:51,719.93,205.0,92.0,5.0,512.4,1.0000000000000003e-05,4761.0,33.0,0.01,6.625001718750001
2026-09-18 19:51,719.93,210.0,1.0,1.0,500.09,1.0000000000000003e-05,1598.0,5.0,0.02,6.500001875000001
2026-09-18 19:51,719.93,215.0,0.0,0.0,0.0,0.0,1197.0,5.0,0.01,6.37500203125
2026-09-18 19:51,719.93,220.0,1.0,1.0,496.84,1.0000000000000003e-05,1952.0,10.0,0.03,6.2500021875
2026-09-18 19:51,719.93,225.0,70.0,20.0,470.99,1.0000000000000003e-05,566.0,3.0,0.02,6.500001875000001
2026-09-18 19:51,719.93,230.0,1.0,1.0,491.55,1.0000000000000003e-05,635.0,1.0,0.02,6.37500203125
2026-09-18 19:51,719.93,235.0,2.0,1.0,475.7,9.83203510498047,136.0,2.0,0.02,6.0000025
2026-09-18 19:51,719.93,240.0,52.0,1.0,465.81,9.669925831298828,1361.0,850.0,0.01,5.87500265625
2026-09-18 19:51,719.93,245.0,13.0,10.0,450.8,1.0000000000000003e-05,746.0,1.0,0.02,5.7500028125
2026-09-18 19:51,719.93,250.0,52.0,1.0,454.54,8.722660798339842,2807.0,1.0,0.03,5.62500296875
2026-09-18 19:51,719.93,255.0,5.0,7.0,460.91,9.16797302001953,1004.0,9.0,0.01,5.500003124999999
2026-09-18 19:51,719.93,260.0,2.0,1.0,457.34,8.994145003662108,460.0,4.0,0.02,5.375003281249999
2026-09-18 19:51,719.93,265.0,12.0,10.0,431.03,1.0000000000000003e-05,596.0,100.0,0.01,5.375003281249999
2026-09-18 19:51,719.93,270.0,1.0,1.0,409.85,8.007817495117187,983.0,1.0,0.01,5.250003437499999
2026-09-18 19:51,719.93,275.0,47.0,1.0,441.09,8.353520404052734,640.0,1.0,0.02,5.12500359375
2026-09-18 19:51,719.93,280.0,13.0,1.0,437.0,7.4531256835937505,1386.0,1.0,0.01,5.000003749999999
2026-09-18 19:51,719.93,285.0,13.0,1.0,423.89,8.23633297729492,806.0,1.0,0.01,5.000003749999999
2026-09-18 19:51,719.93,290.0,18.0,2.0,426.69,7.7500003125,1202.0,300.0,0.01,4.875003906249999
2026-09-18 19:51,719.93,295.0,37.0,2.0,416.8,7.941406323242187,1210.0,106.0,0.02,4.7500040624999995
2026-09-18 19:51,719.93,300.0,28.0,1.0,417.0,6.117189853515624,3786.0,13.0,0.01,4.62500421875
2026-09-18 19:51,719.93,305.0,4.0,1.0,415.48,7.687500390625001,1272.0,2.0,0.04,4.62500421875
2026-09-18 19:51,719.93,310.0,3.0,1.0,402.15,7.562500546875,1360.0,2.0,0.04,4.500004375
2026-09-18 19:51,719.93,315.0,18.0,11.0,395.08,7.253907182617187,1529.0,1.0,0.01,4.375004531249999
2026-09-18 19:51,719.93,320.0,21.0,6.0,398.76,7.347657065429686,1835.0,1.0,0.01,4.375004531249999
2026-09-18 19:51,719.93,325.0,13.0,10.0,385.87,7.115235480957032,1108.0,10.0,0.01,4.2500046875
2026-09-18 19:51,719.93,330.0,31.0,42.0,387.27,7.064454294433594,1636.0,1.0,0.01,4.187504765625
2026-09-18 19:51,719.93,335.0,80.0,1.0,374.15,6.714845356445313,1439.0,2.0,0.01,4.12500484375
