ts_utc,spot,strike,call_oi,call_vol,call_last,call_iv,put_oi,put_vol,put_last,put_iv
2026-09-22 18:17,774.01,550.0,0.0,0.0,0.0,0.0,25.0,20.0,0.03,1.875000625
2026-09-22 18:17,774.01,555.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,1.875000625
2026-09-22 18:17,774.01,565.0,0.0,0.0,0.0,0.0,51.0,0.0,0.02,1.75000125
2026-09-22 18:17,774.01,570.0,0.0,0.0,0.0,0.0,170.0,0.0,0.01,1.71875140625
2026-09-22 18:17,774.01,590.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,1.5312523437499999
2026-09-22 18:17,774.01,595.0,0.0,0.0,0.0,0.0,35.0,0.0,0.05,1.5000025
2026-09-22 18:17,774.01,610.0,0.0,25.0,163.24,0.500005,1.0,0.0,0.07,1.3437532812499997
2026-09-22 18:17,774.01,615.0,0.0,0.0,0.0,0.0,30.0,0.0,0.01,1.3125034374999998
2026-09-22 18:17,774.01,620.0,0.0,0.0,0.0,0.0,250.0,100.0,0.01,1.2500037499999999
2026-09-22 18:17,774.01,625.0,0.0,0.0,0.0,0.0,62.0,56.0,0.08,1.21875390625
2026-09-22 18:17,774.01,630.0,0.0,0.0,0.0,0.0,31.0,1.0,0.01,1.1875040625
2026-09-22 18:17,774.01,635.0,0.0,0.0,0.0,0.0,5.0,0.0,0.05,1.125004375
2026-09-22 18:17,774.01,640.0,0.0,0.0,0.0,0.0,759.0,1.0,0.07,1.09375453125
2026-09-22 18:17,774.01,645.0,0.0,65.0,128.2,1.0000000000000003e-05,52.0,206.0,0.01,1.0625046875000002
2026-09-22 18:17,774.01,650.0,0.0,0.0,0.0,0.0,275.0,403.0,0.01,1.000005
2026-09-22 18:17,774.01,655.0,0.0,90.0,118.6,1.0000000000000003e-05,250.0,1.0,0.01,0.9687503125
2026-09-22 18:17,774.01,660.0,0.0,8.0,113.04,1.0000000000000003e-05,116.0,0.0,0.02,0.937500625
2026-09-22 18:17,774.01,665.0,0.0,0.0,0.0,0.0,214.0,24.0,0.03,0.8906260937499999
2026-09-22 18:17,774.01,670.0,0.0,0.0,0.0,0.0,341.0,61.0,0.03,0.8437515624999999
2026-09-22 18:17,774.01,675.0,0.0,0.0,0.0,0.0,299.0,1000.0,0.02,0.8125018749999999
2026-09-22 18:17,774.01,680.0,0.0,0.0,0.0,0.0,364.0,21.0,0.02,0.7656273437500001
2026-09-22 18:17,774.01,685.0,0.0,0.0,0.0,0.0,109.0,1.0,0.02,0.7187528125
2026-09-22 18:17,774.01,690.0,0.0,0.0,0.0,0.0,608.0,1000.0,0.01,0.6875031250000001
2026-09-22 18:17,774.01,695.0,17.0,114.0,79.16,1.0000000000000003e-05,154.0,67.0,0.03,0.6562534375000001
2026-09-22 18:17,774.01,700.0,43.0,25.0,73.37,1.0000000000000003e-05,689.0,308.0,0.01,0.6093789062500001
2026-09-22 18:17,774.01,705.0,40.0,16.0,68.42,0.6015664843750002,319.0,248.0,0.01,0.5625043750000001
2026-09-22 18:17,774.01,710.0,23.0,11.0,63.51,1.0000000000000003e-05,1225.0,1193.0,0.01,0.5312546875
2026-09-22 18:17,774.01,715.0,47.0,124.0,58.14,1.0000000000000003e-05,592.0,25.0,0.01,0.51562984375
2026-09-22 18:17,774.01,716.0,49.0,437.0,57.49,1.0000000000000003e-05,102.0,100.0,0.02,0.507817421875
2026-09-22 18:17,774.01,717.0,56.0,136.0,56.59,1.0000000000000003e-05,16.0,204.0,0.05,0.500005
2026-09-22 18:17,774.01,718.0,78.0,1.0,55.31,0.49219257812500006,181.0,7.0,0.05,0.49219257812500006
2026-09-22 18:17,774.01,719.0,50.0,75.0,53.98,1.0000000000000003e-05,360.0,3.0,0.02,0.48438015625
2026-09-22 18:17,774.01,720.0,84.0,6.0,53.44,1.0000000000000003e-05,1066.0,1.0,0.01,0.476567734375
2026-09-22 18:17,774.01,721.0,10.0,17.0,53.15,1.0000000000000003e-05,779.0,1.0,0.01,0.4687553125
2026-09-22 18:17,774.01,722.0,4.0,690.0,51.38,1.0000000000000003e-05,21360.0,2.0,0.01,0.46094289062500005
2026-09-22 18:17,774.01,723.0,15.0,3.0,50.42,1.0000000000000003e-05,468.0,163.0,0.02,0.45313046875
2026-09-22 18:17,774.01,724.0,17.0,3.0,48.97,1.0000000000000003e-05,412.0,83.0,0.02,0.445318046875
2026-09-22 18:17,774.01,725.0,32.0,24.0,48.53,1.0000000000000003e-05,17076.0,44.0,0.01,0.437505625
2026-09-22 18:17,774.01,726.0,23.0,7.0,47.38,1.0000000000000003e-05,565.0,1.0,0.01,0.42969320312500003
2026-09-22 18:17,774.01,727.0,4.0,192.0,46.96,1.0000000000000003e-05,422.0,505.0,0.01,0.414068359375
2026-09-22 18:17,774.01,728.0,18.0,62.0,46.06,1.0000000000000003e-05,831.0,100.0,0.01,0.4062559375
